job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
Data Engineer,80810,GBP,60608,EN,PT,United Kingdom,L,United Kingdom,0,"Azure, MLOps, Python, Linux, TensorFlow",Master,1,Energy,5.4,Algorithmic Solutions
Machine Learning Engineer,59614,SGD,77498,EN,CT,Singapore,S,Singapore,100,"Java, Kubernetes, GCP, Linux, Data Visualization",Associate,1,Healthcare,7.3,Quantum Computing Inc
Robotics Engineer,151907,EUR,129121,EX,FT,Germany,S,Ghana,50,"Python, R, MLOps",Associate,16,Media,6.1,Quantum Computing Inc
Data Scientist,76317,USD,76317,EX,CT,India,M,India,0,"TensorFlow, Deep Learning, Spark",Bachelor,14,Energy,9.1,DataVision Ltd
AI Research Scientist,160534,USD,160534,SE,FL,Denmark,M,Denmark,100,"GCP, SQL, MLOps",Master,9,Gaming,8.3,Advanced Robotics
AI Consultant,40687,USD,40687,MI,FT,India,L,India,50,"SQL, R, GCP, PyTorch, AWS",Master,3,Transportation,7.3,Algorithmic Solutions
Computer Vision Engineer,129265,AUD,174508,SE,FL,Australia,S,Australia,0,"Java, Scala, TensorFlow",Master,5,Consulting,6.9,DataVision Ltd
NLP Engineer,94396,USD,94396,EX,PT,China,M,China,100,"Scala, Python, Tableau, Mathematics",Master,18,Government,9.5,Advanced Robotics
NLP Engineer,158237,USD,158237,EX,CT,South Korea,L,South Korea,0,"Python, NLP, GCP",Master,11,Finance,6.0,Quantum Computing Inc
Robotics Engineer,239068,USD,239068,EX,PT,Denmark,L,Denmark,50,"TensorFlow, Java, NLP, Hadoop, GCP",PhD,18,Media,6.8,Autonomous Tech
Robotics Engineer,81401,USD,81401,MI,FL,Finland,M,Belgium,0,"Java, Spark, Data Visualization, AWS, Git",Associate,2,Retail,6.3,Future Systems
AI Specialist,144229,CHF,129806,MI,FT,Switzerland,M,Japan,0,"Python, TensorFlow, MLOps, PyTorch",PhD,2,Media,9.5,DeepTech Ventures
AI Consultant,78936,EUR,67096,MI,FL,Germany,S,Germany,0,"Mathematics, Tableau, R, NLP, SQL",Bachelor,4,Consulting,6.9,Cloud AI Solutions
AI Consultant,101054,USD,101054,SE,PT,South Korea,L,United Kingdom,0,"PyTorch, Python, TensorFlow",Bachelor,6,Healthcare,8.8,DeepTech Ventures
AI Specialist,91807,EUR,78036,SE,FT,Austria,S,Austria,50,"Linux, Azure, Scala, Python",Master,9,Education,8.3,TechCorp Inc
Machine Learning Engineer,49858,EUR,42379,EN,CT,Austria,S,Singapore,100,"PyTorch, Spark, Linux",Bachelor,1,Healthcare,9.2,AI Innovations
Robotics Engineer,80596,EUR,68507,EN,FT,Austria,L,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,6.8,Digital Transformation LLC
Head of AI,76026,USD,76026,MI,FT,Sweden,M,Sweden,50,"Tableau, SQL, R, Scala",PhD,4,Healthcare,8.0,Predictive Systems
Deep Learning Engineer,84841,USD,84841,MI,CT,Sweden,L,Sweden,0,"Azure, Linux, TensorFlow, GCP",Associate,4,Transportation,5.7,Cognitive Computing
Data Scientist,158900,CHF,143010,SE,FL,Switzerland,M,Switzerland,50,"Python, Statistics, Mathematics, Docker, TensorFlow",Associate,8,Finance,6.0,Quantum Computing Inc
Autonomous Systems Engineer,153858,EUR,130779,EX,CT,Germany,S,Germany,50,"MLOps, Azure, Java",Master,13,Gaming,5.1,Cloud AI Solutions
Data Scientist,115314,USD,115314,MI,CT,Denmark,M,Finland,0,"Java, Git, R, Azure",Bachelor,3,Real Estate,7.9,Smart Analytics
Machine Learning Engineer,181068,USD,181068,EX,FT,Israel,S,Israel,100,"R, Java, Hadoop, Mathematics",PhD,13,Transportation,8.5,Machine Intelligence Group
AI Software Engineer,119021,USD,119021,EN,FT,Denmark,L,Portugal,0,"Computer Vision, Docker, Linux, GCP",PhD,1,Transportation,7.3,DataVision Ltd
Data Analyst,219746,USD,219746,EX,FL,Israel,M,Czech Republic,100,"R, Python, Scala, TensorFlow",PhD,15,Finance,7.0,Smart Analytics
AI Consultant,115774,USD,115774,EX,FL,China,L,China,50,"Hadoop, Scala, NLP, PyTorch, SQL",Associate,10,Real Estate,5.3,DataVision Ltd
AI Consultant,130984,CHF,117886,EN,PT,Switzerland,L,Philippines,50,"MLOps, Deep Learning, Kubernetes, Azure, GCP",Bachelor,1,Retail,5.3,DataVision Ltd
ML Ops Engineer,191223,CHF,172101,EX,FT,Switzerland,S,Germany,0,"NLP, Azure, SQL",PhD,18,Healthcare,6.8,Neural Networks Co
AI Consultant,155502,USD,155502,SE,FT,Norway,M,Italy,50,"Python, NLP, AWS, Spark",PhD,9,Consulting,7.6,Future Systems
AI Specialist,86140,EUR,73219,MI,PT,Germany,L,South Korea,50,"Scala, Kubernetes, Deep Learning, AWS",Master,4,Real Estate,7.3,Predictive Systems
AI Architect,96028,GBP,72021,MI,FL,United Kingdom,L,Australia,0,"Data Visualization, MLOps, GCP, PyTorch",Bachelor,4,Healthcare,6.6,Future Systems
Principal Data Scientist,134920,USD,134920,SE,PT,United States,S,United States,0,"SQL, Mathematics, Data Visualization, Kubernetes",Associate,7,Consulting,6.7,Predictive Systems
Research Scientist,107694,USD,107694,SE,FL,Ireland,M,Estonia,50,"Spark, Linux, MLOps, R",Associate,5,Retail,5.1,Future Systems
Deep Learning Engineer,114301,USD,114301,MI,FT,Finland,L,Finland,0,"Tableau, MLOps, Python",Bachelor,4,Real Estate,7.5,Digital Transformation LLC
Machine Learning Researcher,92728,GBP,69546,MI,FT,United Kingdom,L,United Kingdom,0,"NLP, Git, Kubernetes, Azure",Bachelor,4,Transportation,9.3,Cognitive Computing
NLP Engineer,76826,SGD,99874,EN,PT,Singapore,M,Singapore,50,"Git, R, Statistics, PyTorch, Deep Learning",Bachelor,1,Government,7.4,Predictive Systems
AI Consultant,48870,USD,48870,SE,PT,India,L,India,0,"Hadoop, Java, Azure, Spark, Statistics",Associate,7,Healthcare,5.6,Cognitive Computing
Data Scientist,89527,AUD,120861,MI,FT,Australia,L,United States,50,"Linux, Azure, SQL, R, Java",Master,4,Finance,5.8,Predictive Systems
Autonomous Systems Engineer,81103,AUD,109489,EN,CT,Australia,L,Australia,0,"Mathematics, SQL, Kubernetes",Master,0,Media,7.0,Digital Transformation LLC
Machine Learning Engineer,283428,USD,283428,EX,CT,Denmark,L,Denmark,0,"Python, TensorFlow, MLOps, Data Visualization",Associate,13,Healthcare,5.1,Smart Analytics
AI Product Manager,104906,USD,104906,MI,FL,United States,S,Portugal,50,"PyTorch, Java, Spark, Statistics",Bachelor,3,Technology,8.0,Cognitive Computing
AI Software Engineer,231496,USD,231496,EX,PT,Finland,L,Finland,50,"Tableau, R, Kubernetes",Master,18,Automotive,5.5,DataVision Ltd
Robotics Engineer,147402,JPY,16214220,SE,FT,Japan,L,Japan,100,"Azure, GCP, Scala, R, Python",Bachelor,8,Automotive,7.0,Algorithmic Solutions
Data Scientist,69331,EUR,58931,EN,FT,Austria,L,Austria,100,"AWS, Git, NLP, Java, Computer Vision",Master,1,Healthcare,8.8,AI Innovations
AI Consultant,215842,EUR,183466,EX,CT,France,S,France,0,"Deep Learning, TensorFlow, Spark, Python",Bachelor,12,Healthcare,6.7,Machine Intelligence Group
Data Scientist,79833,USD,79833,SE,PT,South Korea,S,South Korea,0,"Java, SQL, PyTorch, TensorFlow, AWS",PhD,6,Healthcare,5.7,Predictive Systems
Data Scientist,304859,USD,304859,EX,FT,Norway,L,Norway,100,"Linux, SQL, Mathematics",Bachelor,15,Media,6.0,Advanced Robotics
Research Scientist,112217,EUR,95384,SE,CT,Germany,S,Israel,0,"Spark, Scala, Azure",Associate,8,Technology,10.0,Digital Transformation LLC
Head of AI,45738,USD,45738,EN,FL,South Korea,M,South Korea,100,"TensorFlow, Hadoop, Spark",Associate,0,Manufacturing,9.5,DeepTech Ventures
Machine Learning Researcher,195309,EUR,166013,EX,PT,Germany,S,Germany,50,"SQL, Tableau, PyTorch, NLP",Bachelor,18,Consulting,5.3,DeepTech Ventures
Data Scientist,141439,USD,141439,SE,FL,United States,L,United States,50,"Kubernetes, GCP, Git, SQL",PhD,9,Retail,6.3,Digital Transformation LLC
AI Consultant,125836,USD,125836,MI,FT,Norway,L,Norway,100,"Statistics, Kubernetes, Spark, GCP",Master,2,Transportation,10.0,Predictive Systems
Machine Learning Researcher,58213,USD,58213,EN,FT,Israel,S,Thailand,50,"Azure, Linux, Kubernetes",PhD,0,Telecommunications,5.5,Cloud AI Solutions
ML Ops Engineer,82191,EUR,69862,MI,CT,Germany,M,Germany,0,"Spark, GCP, Hadoop",Bachelor,2,Media,9.5,Quantum Computing Inc
Machine Learning Researcher,207975,AUD,280766,EX,CT,Australia,S,Colombia,0,"SQL, Azure, Computer Vision",Master,13,Telecommunications,9.9,Future Systems
Computer Vision Engineer,115664,USD,115664,SE,PT,Ireland,M,Ireland,0,"TensorFlow, R, Data Visualization",Bachelor,7,Automotive,7.8,Smart Analytics
AI Software Engineer,109337,USD,109337,SE,PT,Ireland,M,Ireland,50,"Data Visualization, PyTorch, Python, Mathematics, Git",Associate,9,Government,8.1,Predictive Systems
Data Analyst,115386,USD,115386,SE,PT,Finland,M,Finland,100,"MLOps, Statistics, Hadoop, SQL",Associate,7,Energy,6.7,Smart Analytics
Autonomous Systems Engineer,64431,GBP,48323,EN,FT,United Kingdom,L,United Kingdom,50,"Git, Deep Learning, Python, Statistics, TensorFlow",Bachelor,1,Automotive,9.0,DeepTech Ventures
Data Engineer,108088,USD,108088,SE,FL,United States,S,United States,100,"Tableau, Python, Docker, Azure",Bachelor,9,Consulting,8.0,Smart Analytics
ML Ops Engineer,228314,GBP,171236,EX,FT,United Kingdom,L,United Kingdom,50,"Java, Hadoop, SQL, Statistics, TensorFlow",Master,16,Telecommunications,6.5,Cognitive Computing
Data Scientist,153260,AUD,206901,SE,CT,Australia,L,Australia,0,"MLOps, Java, NLP",Master,9,Education,9.7,DataVision Ltd
Data Scientist,63667,USD,63667,MI,CT,Israel,S,Norway,100,"R, Data Visualization, SQL, NLP",PhD,4,Energy,7.9,Algorithmic Solutions
Research Scientist,31185,USD,31185,MI,FL,China,S,Colombia,100,"AWS, GCP, NLP, SQL, Statistics",Associate,3,Healthcare,9.2,Neural Networks Co
Machine Learning Engineer,132167,EUR,112342,SE,PT,Germany,M,Germany,50,"MLOps, Docker, Linux, Computer Vision",Bachelor,9,Education,6.2,Quantum Computing Inc
AI Research Scientist,223349,JPY,24568390,EX,FL,Japan,L,Japan,100,"PyTorch, Mathematics, TensorFlow",Bachelor,11,Gaming,5.9,Smart Analytics
AI Architect,26957,USD,26957,EN,CT,India,M,India,100,"Azure, Computer Vision, Statistics",Bachelor,1,Transportation,9.5,DataVision Ltd
AI Software Engineer,93564,USD,93564,MI,CT,Sweden,S,Sweden,0,"PyTorch, Docker, Data Visualization, Scala, Computer Vision",Associate,2,Transportation,9.7,Advanced Robotics
Computer Vision Engineer,113846,EUR,96769,SE,PT,France,S,France,100,"SQL, Git, R, Hadoop, Docker",Associate,6,Energy,7.8,DataVision Ltd
AI Specialist,147580,EUR,125443,EX,FL,France,M,France,0,"Linux, Deep Learning, Hadoop, Kubernetes, Docker",PhD,17,Telecommunications,5.9,Cloud AI Solutions
Data Engineer,50514,CAD,63143,EN,PT,Canada,M,Philippines,100,"SQL, PyTorch, Tableau, NLP",PhD,1,Automotive,9.0,Cognitive Computing
AI Product Manager,94158,EUR,80034,MI,FL,Germany,M,Vietnam,100,"PyTorch, R, Scala",Master,2,Education,5.5,Future Systems
Principal Data Scientist,161009,EUR,136858,EX,FL,Netherlands,M,Netherlands,50,"Kubernetes, AWS, GCP",Associate,19,Transportation,7.1,Cognitive Computing
Data Analyst,91911,USD,91911,EX,FT,India,L,India,100,"PyTorch, SQL, Azure, Docker",Associate,15,Technology,5.9,Cloud AI Solutions
AI Specialist,248071,EUR,210860,EX,FL,Germany,M,Czech Republic,50,"Kubernetes, R, GCP",Bachelor,15,Consulting,7.6,Future Systems
Autonomous Systems Engineer,150204,EUR,127673,SE,PT,Germany,M,Germany,50,"Docker, Linux, Kubernetes, Data Visualization",Bachelor,9,Transportation,6.3,Neural Networks Co
AI Product Manager,181517,EUR,154289,SE,CT,Netherlands,L,Netherlands,50,"SQL, Kubernetes, NLP, MLOps",PhD,9,Government,8.9,TechCorp Inc
Data Analyst,64573,EUR,54887,EN,PT,France,L,France,100,"Kubernetes, GCP, Mathematics, Python",Master,1,Government,9.2,AI Innovations
ML Ops Engineer,89332,USD,89332,MI,CT,United States,S,United States,100,"Python, TensorFlow, Deep Learning, Docker, PyTorch",Bachelor,4,Finance,6.0,Predictive Systems
Machine Learning Engineer,118239,USD,118239,SE,FL,Sweden,S,Indonesia,50,"AWS, Hadoop, PyTorch, Statistics, Azure",PhD,9,Energy,8.1,Future Systems
AI Specialist,103715,JPY,11408650,MI,FT,Japan,S,Japan,50,"Python, Azure, Statistics",Bachelor,4,Automotive,9.3,Neural Networks Co
AI Consultant,151680,AUD,204768,EX,FL,Australia,S,Australia,100,"Computer Vision, AWS, Kubernetes",Associate,14,Manufacturing,6.9,Cognitive Computing
Data Analyst,142589,EUR,121201,SE,FT,Netherlands,L,Netherlands,0,"Docker, Tableau, Kubernetes, Data Visualization, GCP",Master,8,Government,6.0,Predictive Systems
Research Scientist,63062,USD,63062,EN,PT,Sweden,L,Sweden,50,"PyTorch, R, Mathematics, Kubernetes",Associate,1,Real Estate,6.7,Smart Analytics
Data Engineer,80691,JPY,8876010,EN,CT,Japan,L,Japan,100,"Deep Learning, Computer Vision, PyTorch, Statistics, Spark",Master,1,Retail,8.1,DataVision Ltd
Data Analyst,171580,JPY,18873800,SE,PT,Japan,L,Kenya,100,"SQL, Spark, MLOps",PhD,7,Manufacturing,6.7,Predictive Systems
Autonomous Systems Engineer,58331,USD,58331,SE,PT,China,M,Chile,0,"Hadoop, Java, NLP, Mathematics, Python",Master,5,Transportation,6.1,Cognitive Computing
Head of AI,85620,CAD,107025,MI,FT,Canada,L,Canada,100,"TensorFlow, GCP, MLOps, NLP",Associate,4,Healthcare,5.8,Quantum Computing Inc
AI Consultant,220871,EUR,187740,EX,FT,Austria,M,Austria,0,"Linux, Tableau, Spark, Scala",Associate,14,Automotive,5.2,DeepTech Ventures
ML Ops Engineer,93007,EUR,79056,MI,CT,France,M,France,50,"Docker, SQL, MLOps, GCP, Hadoop",Bachelor,4,Energy,6.4,Cognitive Computing
AI Specialist,191783,SGD,249318,EX,FT,Singapore,S,Singapore,100,"Java, GCP, PyTorch",PhD,14,Healthcare,5.6,Advanced Robotics
Head of AI,83683,USD,83683,MI,FL,Israel,S,Czech Republic,50,"Mathematics, Computer Vision, MLOps, Git, Deep Learning",Bachelor,3,Education,5.3,Smart Analytics
Research Scientist,107869,USD,107869,SE,FL,Ireland,S,Ireland,50,"SQL, Linux, GCP",Associate,8,Finance,7.3,Predictive Systems
Autonomous Systems Engineer,73528,USD,73528,MI,PT,Sweden,S,Poland,0,"NLP, R, Git, MLOps",Associate,2,Finance,8.0,Algorithmic Solutions
NLP Engineer,47642,USD,47642,MI,FL,China,L,Sweden,100,"Python, TensorFlow, NLP",PhD,3,Telecommunications,8.0,DeepTech Ventures
AI Software Engineer,179937,EUR,152946,SE,PT,Netherlands,L,Netherlands,50,"Python, TensorFlow, NLP, Kubernetes",Associate,6,Real Estate,8.1,Machine Intelligence Group
Data Engineer,157066,CHF,141359,MI,PT,Switzerland,L,Sweden,0,"GCP, Docker, NLP, Data Visualization",PhD,2,Transportation,9.0,Neural Networks Co
Data Scientist,57299,USD,57299,EN,CT,Israel,M,Israel,0,"PyTorch, Spark, TensorFlow",Bachelor,1,Retail,7.8,DataVision Ltd
Data Engineer,176844,CAD,221055,EX,FL,Canada,L,France,50,"Linux, Scala, Tableau",PhD,10,Telecommunications,5.4,Digital Transformation LLC
AI Research Scientist,64892,CAD,81115,EN,CT,Canada,M,Canada,50,"Kubernetes, Scala, Azure, Computer Vision",Associate,1,Transportation,5.7,Algorithmic Solutions
AI Specialist,63024,EUR,53570,EN,CT,Austria,L,Austria,0,"Git, Statistics, Data Visualization",Bachelor,1,Gaming,9.2,Algorithmic Solutions
Principal Data Scientist,136695,CHF,123026,MI,FL,Switzerland,S,Switzerland,50,"Linux, GCP, Tableau, Java",Bachelor,2,Gaming,5.9,Algorithmic Solutions
Data Scientist,69744,USD,69744,EN,PT,South Korea,L,South Korea,50,"Python, Docker, Tableau",Associate,1,Telecommunications,8.4,Autonomous Tech
AI Specialist,135137,EUR,114866,EX,FL,Austria,M,Austria,0,"Kubernetes, GCP, Data Visualization",PhD,18,Finance,5.4,TechCorp Inc
Computer Vision Engineer,143037,USD,143037,EX,FL,Sweden,S,Sweden,0,"Data Visualization, Linux, Azure, Java",PhD,13,Manufacturing,9.5,Autonomous Tech
Machine Learning Engineer,113068,GBP,84801,SE,FT,United Kingdom,M,United Kingdom,100,"Docker, Scala, Java, Data Visualization, Kubernetes",Master,9,Gaming,6.6,Machine Intelligence Group
AI Software Engineer,113917,GBP,85438,SE,PT,United Kingdom,S,Russia,0,"SQL, Kubernetes, GCP",Master,9,Government,7.3,Future Systems
